subject_id,channel_index,chromophore,hrf_peak_s,beta_main,beta_comfort,beta_richness
P18,17,HbO,14,-0.0038830455543601983,-0.0024741337829282013,-9.538834938747911e-4
P18,18,HbO,14,-1.3786297645474135e-6,2.78260144207316e-6,-8.383332333469283e-6
P18,19,HbO,14,6.92505394611104e-7,4.202924254199809e-6,3.5664968706252026e-6
P18,20,HbO,14,-3.949505927412867e-7,-1.045723567852398e-6,-2.6472480257460318e-6
P18,21,HbO,14,-3.0789660136373697e-7,-5.571407131062328e-7,-2.453606210637763e-7
P18,22,HbO,14,-0.0029071152747014795,-0.0054253369493155535,0.002844259462290075
P18,23,HbO,14,-0.0031119306521320816,-0.0035783909910338434,0.0015446455552689377
P18,1,HbO,17,-0.004209298431799346,-0.006166267202411212,-0.0011701159602017376
P18,2,HbO,17,-0.004078987192370843,-0.007144726258579592,0.0029139406537635384
P18,3,HbO,17,-0.004363070846029782,-0.011234288134055824,0.004136320205442812
P18,4,HbO,17,-0.005919960866089562,-0.012526974023502446,0.004500068225436754
P18,5,HbO,17,-0.002300305929191839,-0.006706888522977605,0.006580727022704491
P18,7,HbO,17,-0.0035812273033483466,-0.0033571735377058596,0.004154873065324958
P18,8,HbO,17,-0.0026930192042182713,-0.003253577025263102,0.0021536567975492535
P18,9,HbO,17,-0.0022399395257075394,-0.0031185002722210935,0.004424907575586353
P18,10,HbO,17,-0.003079902471251371,-0.010884874848650902,0.0039128712811833275
P18,11,HbO,17,-0.002935490072995995,-0.008736167793615579,0.0014684429455083896
P18,12,HbO,17,-0.0027737518615260064,-0.004149905898011281,0.0017707035165515936
P18,14,HbO,17,-0.0013973659271382761,-0.0027931243556903337,1.9042709081027647e-4
P18,15,HbO,17,-0.0016580509417932247,-0.0051268891225988164,-6.672291876901373e-4
P18,16,HbO,17,-0.002921556174253905,-0.004277763461224783,-1.358887135436983e-4
P18,17,HbO,17,-0.003539674913571706,5.22307373453005e-4,-7.631333840181639e-4
P18,18,HbO,17,-1.3714112736455181e-6,2.3579718766882267e-6,-7.707104390298361e-6
P18,19,HbO,17,8.83974310309649e-7,2.913014871828315e-6,4.463650182143192e-6
P18,20,HbO,17,-3.7894769372457505e-7,-1.1813577852005343e-6,-2.9627198239383868e-6
P18,21,HbO,17,-5.047088386973363e-7,2.990339386364986e-7,-5.513678326225265e-7
P18,22,HbO,17,-0.0028897206192903635,-0.0026252163345264093,0.0016871991249281858
P18,23,HbO,17,-0.002961225272879958,-0.0019086289155703928,8.844840634244923e-4
P44,1,HbO,5,-4.550798168563698e-4,-0.006836304327291161,0.001954418788942648
P44,1,HbR,5,-0.0017546375497907462,0.006843575621751926,-0.0037431722383520208
P44,2,HbO,5,-0.00450546164836774,-0.02495530247055063,0.011121876542404355
P44,2,HbR,5,-0.0012384522410351475,-0.0014614519296662443,-7.489610104341303e-4
P44,3,HbO,5,0.0030300252554229645,-0.016920847841123986,0.008899607129343979
P44,3,HbR,5,-0.002447007819962805,0.00865970705111398,-0.005952690877997603
P44,4,HbO,5,-0.002533385375959123,-0.026419688490878064,0.013928321212560563
P44,4,HbR,5,-0.001821169861709011,6.100365977879579e-4,-0.0011254331489747242
P44,5,HbO,5,-4.395690568890353e-4,-0.017024222435970363,0.010611047081511315
P44,5,HbR,5,-0.002455869698639238,0.003209536076724428,-0.0031331187714035095
P44,7,HbO,5,-0.010188284056241644,-0.021048271836110504,0.0038927812237052168
P44,7,HbR,5,-1.6302587079260517e-4,0.002082195339045927,6.933322569965397e-4
P44,8,HbO,5,-0.0018576298735203964,-0.007651363468071184,0.0012909536659692369
P44,8,HbR,5,0.0011584171914946371,0.013583829135396392,-0.007930576514822122
P44,9,HbO,5,-0.007989089595493406,-0.007517083600300936,-0.0035174117453831036
P44,9,HbR,5,0.002629951509004551,-6.981323209491045e-5,0.003303953946308951
P44,10,HbO,5,-0.008288697700991906,-8.064342934945553e-4,-0.0024502259671056767
P44,10,HbR,5,0.0010841169948664284,-0.006484438538211477,0.003907418951065055
P44,11,HbO,5,-0.005877601150191812,-0.030516771806249798,0.014132129682476012
P44,11,HbR,5,5.749512460318615e-4,0.00842972948348992,-0.005358081202397217
P44,12,HbO,5,-0.00746193669382107,-0.027057300852017577,0.011911089917653534
P44,12,HbR,5,-0.0013218819073919472,-0.0025531617662743014,2.1148626937506814e-4
P44,14,HbO,5,-0.0020413375768818355,-0.016536781307416162,0.005198361565242452
P44,14,HbR,5,-0.0017983555369201316,-2.453752701356297e-4,8.803589583351865e-4
P44,15,HbO,5,-9.413053215132384e-4,-0.019860640728937215,0.004265761172145381
